AAA	Ansett Australia - Australia	ANSETT
AHP	Aerochiapas - Mexico	AEROCHIAPAS
AHR	Air Adriatic - Croatia	ADRIATIC
AHS	AirHispania - Spain	AIRHISPANIA
AHT	HTA Helicopteros - Portugal	HELIAPRA
AHU	ABC Air Hungary - Hungary	ABC HUNGARY
AHW	Aeromist-Kharkiv - Ukraine	AEROMIST
AHX	Amakusa Airlines - JP	AMAKUSA AIR
AHY	Azerbaijan Airlines - Azerbaijan	AZAL
AIA	Avies - Estonia	AVIES
AIB	Airbus Industrie - France	AIRBUS INDUSTRIE
AIC	Air India Limited - India	AIRINDIA
AID	Alti - Kazakhstan	ALTIT
AIE	Air Inuit - Canada	AIR INUIT
AIF	Compania Aerea de Valencia - Spain	UNKNOWN
AIG	Air Inter Gabon - Gabon	UNKNOWN
AIH	Alpine Air Chile - Chile	ALPINE CHILE
AII	Air Integra - Canada	INTEGRA
AIJ	ABC Aerolineas - Mexico	ABC AEROLINEAS
AIK	African Airlines International Limited - Kenya	AFRICAN AIRLINES
AIL	Air Illinois - United States	AIR ILLINOIS
AIM	Trabajos Aereos Murcianos - Spain	PIJO
AIN	African International Airways - Swaziland	FLY CARGO
AIO	United States Air Force - United States	AIR CHIEF
AIP	Alpine Air Express - United States	ALPINE AIR
AIQ	Thai AirAsia - Thailand	THAI ASIA
AIR	Airlift International - United States	AIRLIFT
AIS	Air Sureste - Spain	SURESTE
AIT	Airest - Estonia	UNKNOWN
AIU	Alicante Internacional Airlines - Spain	ALIA
AIV	Airvias S/A Linhas Aereas - Brazil	AIRVIAS
AIW	Atlantic Island Airways - Canada	TARTAN
AIX	Aircruising Australia - Australia	CRUISER
AIY	Aircrew Check and Training Australia - Australia	AIRCREW
AIZ	Arkia Israel Airlines - Israel	ARKIA
AJA	A J Services - United Kingdom	AYJAY SERVICES
AJB	Aero JBR - Mexico	AERO JBR
AJC	Bar Harbor Airlines - United States	BAR HARBOR
AJE	Aero Jet Express - Mexico	JET EXPRESS
AJF	Avia Consult Flugbetriebs - Austria	AVIACONSULT
AJI	Ameristar Jet Charter - United States	AMERISTAR
AJJ	A2 Jet Leasing - United States	ATLANTIC JET
AJK	Allied Air - Nigeria	BAMBI
AJM	Air Jamaica - Jamaica	JAMAICA
AJO	Aeroejecutivo - Mexico	AEROEXO
AJP	Aero Jets Corporativos - Mexico	AEROJETS
AJS	Aeroejecutivos Colombia - Colombia	AEROEJECUTIVOS
AJT	Amerijet International - United States	AMERIJET
AJU	Air Jetsul - Portugal	AIRJETSUL
AJV	ANA & JP Express - Japan	AYJAY CARGO
AJW	Alpha Jet International - United States	ALPHAJET
AJX	Air Japan - Japan	AIR JAPAN
AJY	Ajet - Cyprus	AYJET
AKA	Air Korea Co. Ltd. - Republic of Korea	UNKNOWN
AKB	Aktjubavia - Kazakhstan	KARAB
AKC	Arca Aerovias Colombianas Ltda. - Colombia	ARCA
AKD	Alfa KR - Kyrgyzstan	ALFA ASIA
AKF	Anikay Air Company - Kyrgyzstan	ANIKAY
AKG	84 Squadron Royal Air Force @ RAF Akrotiri - United Kingdom	GRIFTER
AKH	Akhal - Turkmenistan	AKHAL
AKI	Ibk-Petra - Sudan	UNKNOWN
AKK	Aklak Air - Canada	AKLAK
AKL	Air Kilroe - GB	KILROE
AKM	Mak Air - Kazakhstan	MAKAIR
AKN	Alkan Air - Canada	ALKAN AIR
AKP	Aircompany Antex-Polus, CJSC - Russian Federation	ANTEX-POLUS
AKR	Arctic Air A.S. - Norway	ARCTIC NORWAY
AKS	Akhmos-1 - Belarus	AKHMOS
AKT	Karat - Russia	AVIAKARAT
AKU	Acsunkar - Kazakhstan	ACSUNKAR
AKW	Angkor Airways - Cambodia	ANGKORWAYS
AKX	Air Nippon Network Co. Ltd. - Japan	ALFA WING
AKY	Yak-Service - Russia	YAK-SERVICE
AKZ	AK Navigator LLC - Kazakhstan	ABSOLUTE
ALB	Aero Albatros - Mexico	ALBATROS
ALC	Southern Jersey Airways, Inc. - United States	ACOM
ALD	Albion Aviation - United Kingdom	ALBION
ALE	Aeroalas Colombia - Colombia	AEROALAS
ALF	Allied Command Europe (Mobile Force) - Belgium	ACEFORCE
ALG	Air Logistics - United States	AIRLOG
ALH	Atlantic Airways Ltd. - United Kingdom	LOFCARGO
ALI	Alaire - ES	LUCAS
ALJ	Heli Ambulance Team - Austria	ALPIN HELI
ALK	SriLankan Airlines - Sri Lanka	SRILANKAN
ALL	Aerovallarta - Mexico	VALLARTA
ALM	Air ALM - Netherlands Antilles	ANTILLEAN
ALN	Air Lincoln - United States	CHICAGO LINCOLN
ALO	Allegheny Commuter Airlines - United States	ALLEGHENY
ALP	Alpiner - Switzerland	ALPINER
ALQ	Altair Aviation (1986) - Canada	ALTAIR
ALR	Air Lorr - France	AIR LORR
ALS	Aeralp - FR	AERALP
ALT	Altair Virtual Airlines	ALT
ALU	Air Luxor STP - Sao Tome and Principe	LUXORJET
ALV	Alas de Venezuela - Venezuela	ALVEN
ALW	Alas Nacionales, S.A. - Dominican Republic	ALNACIONAL
ALX	Hewa Bora Airways - Democratic Republic of the Congo	ALLCONGO
ALY	Alyeska Air Service - United States	ALYESKA
ALZ	AlAndalus Airlines VA - Spain	ALANDALUS
AMA	ATMA - Kazakhstan	ADIK
AMB	Deutsche Rettungsflugwacht - Germany	CIVIL AIR AMBULANCE
AMC	Air Malta - Malta	AIR MALTA
AMD	Aerolineas Medellin - Colombia	AEROLINEAS MEDELLIN
AME	Spanish Air Force - Spain	AIRMIL
AMF	Ameriflight - United States	AMFLIGHT
AMG	Air Minas Linhas Aï¿½reas - Brazil	AIR MINAS
AMH	Alan Mann Helicopters Ltd. - United Kingdom	MANN
AMI	Air Maldives - Maldives	AIR MALDIVES
AMJ	Aviation Amos - Canada	AVIATION AMOS
AMK	Amerer Air - Austria	AMER AIR
AML	Air Malawi - Malawi	MALAWI
AMM	Aeroputul International Marculesti - Moldova	AEROM
AMN	Air Montenegro - Montenegro	MONTENEGRO
AMO	Air Montreal (Air Holdings Inc.) - Canada	AIR MONTREAL
AMP	Aero Transporte S.A. (ATSA) - Peru	ATSA
AMQ	Aeromedicare Ltd. - United Kingdom	LIFELINE
AMR	Air Specialties Corporation - United States	AIR AM
AMS	Air Muskoka - Canada	AIR MUSKOKA
AMT	ATA Airlines - United States	AMTRAN
AMU	Air Macao - Macao	AIR MACAO
AMV	AMC Airlines - Egypt	UNKNOWN
AMW	Air Midwest - United States	AIR MIDWEST
AMX	Aeromï¿½xico - Mexico	AEROMEXICO
AMY	Air Ambar, S.A. - Dominican Republic	AIR AMBAR
AMZ	Amiya Airline - Nigeria	AMIYA AIR
ANA	All Nippon Airways - Japan	ALL NIPPON
ANB	Air Navigation And Trading Co. Ltd. - United Kingdom	AIR NAV
ANC	Anglo Cargo - United Kingdom	ANGLO
AND	National Jet Service - United States	AIR INDIANA
ANE	Air Nostrum - Spain	NOSTRU AIR
ANF	Alpine Aviation Ltd. - Unied Kingdom	CRESTA
ANG	Air Niugini - Papua New Guinea	NUIGINI
ANH	Alajnihah for Air Transport - Libya	ALAJNIHAH
ANI	Air Atlantic (Nig) Limited - Nigeria	NIGALANTIC
ANK	Air Nippon - Japan	ANK AIR
ANL	Nacoia Lda - Angola	AIR NACOIA
ANM	Antares Airtransport, Maintenance & Service GmbH - Germany	ANTARES
ANO	Airnorth - Australia	TOPEND
ANP	Antonair International (Pty) Ltd. - Lesotho	ANTONAIR
ANQ	Aerolï¿½nea de Antioquia - Colombia	ANTIOQUIA
ANR	Aeronorte, S.A. - Colombia	AERONORTE
ANS	Andes Lineas Aereas - Argentina	AEROANDES
ANT	Air North Charter - Canada - Canada	AIR NORTH
ANU	Avionair, Inc. - Canada	AVIONAIR
ANV	Air Nevada Airlines - United States	AIR NEVADA
ANW	Aviacion Del Noroeste, S.A. de C.V. - Mexico	AVINOR
ANX	Secretaria de Marina - Mexico	SECRETARIA DEMARINA
ANZ	Air New Zealand - New Zealand	NEW ZEALAND
AOA	Alcon Servicios Aereos, S.A. de C.V. - Mexico	ALCON
AOC	AVCOM - Russia	AERO AVCOM
AOD	Aero Vodochody - Czech Republic	AERO CZECH
AOE	Air One Executive - Italy	UNKNOWN
AOF	Atair Pty Ltd. - South Africa	ATAIR
AOG	Aero VIP - Argentina	AVIP
AOI	Astoria, Inc. - Canada	ASTORIA
AOK	Aeroatlantico Colombia - Colombia	UNKNOWN
AOL	Angkor Airlines - Cambodia	ANGKOR AIR
AOM	AOM French Airlines - France	French Lines
AON	Aero Entreprise - France	AERO ENTERPRISE
AOO	As, Opened Joint Stock Company - Ukraine	COMPANY AS
AOP	Aeropiloto - Portugal	AEROPILOTO
AOR	Afro International Ent. Limited - Nigeria	INTER-AFRO
AOS	Servicios Aerecs Del Sol, S.A. de C.V. - Mexico	AEROSOL
AOT	Asia Overnight Express - Philippines	ASIA OVERNIGHT
AOU	Air Tractor - Croatia	AIR TRACTOR
AOV	Aero Vision - France	AEROVISION
AOW	Air Omega Luftverkehrsgesellschaft mbH - Germany	WARLOCK
AOX	Aerotaxi Del Valle - Colombia	AEROVALLE
APA	Air Pacifica Airlines - Virgin Islands (US)	PACIFICA
APB	Air Atlantique / Air Publicit‚ - France	CHARENTE
APC	Airpac Airlines, Inc. - United States	AIRPAC
APD	Sabre Pacific - Australia	UNKNOWN
APE	Parcel Express - United States	AIR PARCEL
APF	Amapola Flyg AB - Sweden	AMAPOLA
APG	Air People International - Thailand	AIR PEOPLE
APH	Alpha Aviation, Inc. - United States	AIRFLIGHT
API	ASA Pesada, Lda. - Angola	ASA PESADA
APJ	Air Print, S.A. - Luxembourg	AIR PRINT
APK	Aeroprakt - KZ	AEROPRAKT
APL	Appalachian Flying Service, Inc. - United States	APPALACHIAN
APM	Airpac, Inc. - United States	ALASKA PACIFIC
APN	Air Polonia Ltd. - Poland	AIR POLONIA
APO	Aeropro - Canada	AEROPRO
APP	Aerolineas Pacifico Atlantico, S.A. (Apair) - Panama	AEROPERLAS
APQ	Aspen Aviation - United States	ASPEN BASE
APS	Aeroparadise - MX	AEROPARADISE
APT	LAP Colombia - Lineas Aereas Petroleras, S.A. - Colombia	LAP
APU	Aeropuma, S.A. - El Salvador	AEROPUMA
APV	Air Plan International - Democratic Republic of the Congo	AIR PLAN
APW	Arrow Air - United States	BIG A
APX	Apex Air Cargo - United States	PARCEL EXPRESS
APY	APA Internacional - Dominican Republic	APA INTERNACIONAL
APZ	Hydro-Quebec - Canada	AMPERE
AQA	Aeroatlas, S.A. - Colombia	ATCO
AQB	Aqualata Air S.L. (Aqua Air) - Spain	AQUAIR
AQC	Alquiladora de Casas, S.A. de C.V. - Mexico	ALQUILADORA
AQL	Aquila Air Ltd. - Canada	AQUILA
AQN	Air Queensland - Australia	BUSHAIR
AQO	Aluminum Company Of America - United States	ALCOA SHUTTLE
AQT	Aviones de Renta de Quintana Roo, S.A. de C.V. - Mexico	AVIOQUINTANA
AQU	AirQuarius Aviation - South Africa	QUARIUS
AQZ	Aerodyne Charter Company - United States	QUANZA
ARA	Arik Air - Nigeria	ARIK AIR
ARB	Avia Air N.V. - Aruba	AVIAIR
ARC	Air Routing International Corp. - United States	UNKNOWN
ARD	Aerocondor - Portugal	AEROCONDOR
ARE	Aires, Aerovias de Integracion Regional, S.A. - Colombia	AIRES
ARF	Aero Flight - Germany	Aero Fox
ARG	Aerolineas Argentinas - Argentina	ARGENTINA
ARH	Arrowhead Airways - United States	ARROWHEAD
ARI	Aero Vics - Mexico	AEROVICS
ARJ	Aerojet de Costa Rica, S.A. - Costa Rica	UNKNOWN
ARK	Aero Link Air Services S.L. - Spain	LINK SERVICE
ARL	Arabian Airlines - Jordan	ARABIAN
ARM	Aeromarket Express - Spain	AMEX
ARN	Astra Airlines SA - Switzerland	SWISSLEASE
ARO	Arrow Aviation Ltd. - Canada	ARROW
ARP	Airpro - Italia	AIRPRO
ARQ	Armstrong Air, Inc. - Canada	ARMSTRONG
ARR	Air Armenia - Armenia	AIR ARMENIA
ARS	Aeromet Servicios - Chile	METSERVICE
ART	Aerotal Aerolineas Territoriales de Colombia Ltda - Colombia	AEROTAL
ARU	Aruba Airlines - AW	ARUBA AIRLINES
ARV	Aravco Ltd. - United Kingdom	ARAVCO
ARW	Aria - France	ARIABIRD
ARX	Air Xpress, Inc. - United States	AIREX
ARY	Argosy Airways - United States	GOSEY
ARZ	Air Resorts - United States	AIR RESORTS
ASA	Alaska Airlines, Inc. - United States	ALASKA
ASB	Air-Spray 1967 Ltd. - Canada	AIR SPRAY
ASC	Air Star Corporation - Canada	AIR STAR
ASD	AeroSarda - Italy	SARDA
ASE	Aegean Seagull - Greece	SEAGULL
ASF	Air Schefferville, Inc. - Canada	SCHEFF
ASG	African Star Airways (PTY) Ltd. - South Africa	AFRICAN STAR
ASH	Mesa Airlines - United States	AIR SHUTTLE
ASI	Aerosun International, Inc. - United States	AEROSUN
ASJ	Air Satellite - Canada	SATELLITE
ASK	La Ronge Aviation Services - Canada	AIR SASK
ASL	Spurling Aviation - United States	AIR SEATTLE
ASM	Awesome Flight Services (PTY) Ltd. - South Africa	AWESOME
ASN	Air and Sea Transport - Russia	UNKNOWN
ASO	AirSource The Original Virtual Pilot Union - USA	AIRSOURCE
ASP	Airsprint - Canada	AIRSPRINT
ASQ	Atlantic Southeast Airlines - United States	ACEY
ASR	All Star Airlines, Inc. - United States	ALL STAR
ASS	Air Class, S.A. de C.V. - Mexico	AIR CLASS
AST	Aerlineas Del Oeste - Mexico	AEROESTE
ASU	Compania Boliviana de Transporte Aereo Privado Aerosur, S.A. - Bolivia	ASUR
ASV	Atlantic Sun Airways - USA	ATLANTICSUN
ASW	Air Southwest Ltd. - Canada	AIRSOUTHWEST
ASX	Air Special - Czech Republic	AIRSPEC
ASY	Royal Australian Air Force - Australia	AUSSIE
ASZ	Astrakhan Airlines - Russia	AIR ASTRAKHAN
ATA	Air Transport Association - United States	UNKNOWN
ATB	Atlantair Ltd. - Canada	STARLITE
ATC	Air Tanzania - Tanzania	TANZANIA
ATD	Aerotours Dominicana - Dominican Republic	AEROTOURS
ATE	Atlantis Transportation Services, Ltd. - Canada	ATLANTIS CANADA
ATF	Compania Aerotecnicas Fotograficas - Spain	AEROTECNICAS
ATG	Aerotrans Airline - Kazakhstan	BACHYT
ATH	Air Travel Corp. - United States	AIR TRAVEL
ATI	Aero-Tropics Air Services - Australia	UNKNOWN
ATJ	Air Traffic GmbH - Germany	SNOOPY
ATK	AeroTACA - Colombia	AEROTACA
ATL	Atlantica Brasil - Brazil	ATLANTICA
ATM	Airlines Of Tasmania - Australia	AIRTAS
ATN	Air Transport International LLC - United States	AIR TRANSPORT
ATP	ASTRAL Colombia - Aerotransportes Especiales Ltda. - Colombia	ASTRAL
ATQ	Air Transport Schiphol - Netherlands	MULTI
ATR	Atlas Airlines - United States	ATLAS-AIR
ATS	Air Transport Service - Democratic Republic of the Congo	UNKNOWN
ATT	Aer Turas - Ireland	AERTURAS
ATU	Atlant Aerobatics Ltd. - Hungary	ATLANT HUNGARY
ATV	Avanti Air - Germany	AVANTI AIR
ATW	Aero Trades (Western) Ltd. - Canada	AERO TRADES
ATX	Warwickshire Aerocentre Ltd. - United Kingdom	AIRTAX
ATZ	Alarmond Limited - United Kingdom	ASTEL
AUA	Austrian Airlines - Austria	AUSTRIAN
AUB	Augsburg Airways GmbH - Germany	AUGSBURG-AIR
AUC	Transaustralian Air Express - Australia	AUSCARGO
AUD	Audi Air, Inc. - United States	AUDI AIR
AUF	Augusta Air Luftfahrtunternehmen - Germany	AUGUSTA
AUH	Abu Dhabi Amiri Flight - United Arab Emirates	SULTAN
AUI	Ukraine International Airlines - Ukraine	UKRAINE INTERNATIONAL
AUJ	Business Flight Salzburg - Austria	AUSTROJET
AUL	Aeroflot-Nord - Russia	DVINA
AUM	Air Atlantic Uruguay - Uruguay	ATLAMUR
AUN	Aviones Unidos - Mexico	AVIONES UNIDOS
AUO	Empresa (Aero Uruguay), S.A. - Uruguay	UNIFORM OSCAR
AUP	Avia Business Group - Russia	UNKNOWN
AUR	Aurigny Air Services - United Kingdom	AYLINE
AUS	Aus-Air - Australia	UNKNOWN
AUT	Austral Lineas Aereas - Argentina	AUSTRAL
AUU	Aurora Aviation, Inc. - United States	AURORA AIR
AUV	Atruvera - Russian Federation	ATRUVERA
AUX	Air Uganda International Ltd. - Uganda	UNKNOWN
AUY	Aerolineas Uruguayas, S.A. - Uruguay	AUSA
AUZ	Australian Airlines - Australia	AUSTRALIAN
AVA	Avianca - Aerovias Nacionales de Colombia, S.A. - Colombia	AVIANCA
AVB	Aviation Beaufort - United Kingdom	BEAUPAIR
AVC	Aeronautica Venezolana, C.A. (Aierovenca) - Venezuela	AEROVENCA
AVD	Alamo Aviacion, S.L. - Spain	ALAMO
AVE	Avensa - Venezuela	Avensa
AVF	Aviair Aviation Ltd. - Canada	CARIBOO
AVG	Air Falcon - Djibouti	DJIBOUTI FALCON
AVH	AV8 Helicopters - United Kingdom	KENT HELI
AVI	L'Avion - FR	L'AVION
AVJ	Avia Traffic Company - Kyrgyzstan	ATOMIC
AVK	AV8 Helicopters - South Africa	AVIATE-COPTER
AVL	Aerovias Las Americas, S.A. - Panama	LAS AMERICAS
AVM	Aviacion Ejecutiva Mexicana, S.A. - Mexico	AVEMEX
AVN	Air Vanuatu - Vanuatu	AIR VAN
AVO	Aviation at Work - South Africa	AVIATION WORK
AVP	Avcorp Registrations - United Kingdom	AVCORP
AVQ	AeroVirtuel Quebec - Canada	AVGO
AVR	Active Aero Charter, Inc. - United States	ACTIVE AERO
AVS	Avialsa T-35 - Spain	AVIALSA
AVT	Asia Avia Airlines - Indonesia	ASIAVIA
